,event,logger,level,timestamp,thread,pair,metadata_calculation_interval_in_seconds,metadata_update_interval_in_seconds,total_runtime_in_seconds
140,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:38.685789Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_none_has)",,,
141,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:41.260328Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_barrier_none_tried)",,,
142,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:41.400885Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_barrier_no_appointments)",,,
143,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:41.751315Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_no_appointments_has)",,,
144,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:42.550966Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_no_appointments_tried)",,,
145,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:42.630086Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_other)",,,
146,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:42.793185Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_other_has)",,,
147,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:42.960203Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_other_tried)",,,
148,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:42.961629Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_technical_difficulties)",,,
149,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:43.174125Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_technical_difficulties_has)",,,
150,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:45.730800Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_technical_difficulties_tried)",,,
151,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:45.950613Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_technology_access)",,,
152,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:46.217474Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_barrier_technology_access_has)",,,
153,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:47.824984Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_technology_access_tried)",,,
154,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:48.068027Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_time)",,,
155,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:48.156910Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_time_has)",,,
156,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:50.632278Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_barrier_time_tried)",,,
157,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:50.777867Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_barrier_travel)",,,
158,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:50.875161Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_travel_has)",,,
159,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:51.930029Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_travel_tried)",,,
160,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:52.184081Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_type)",,,
161,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:52.316277Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_type_has)",,,
162,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:54.894408Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_type_tried)",,,
163,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:55.051696Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_likely_doctors)",,,
164,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:55.067124Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_likely_friends)",,,
165,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:56.158183Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_likely_govt_health)",,,
166,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:56.524915Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_likely_local_health)",,,
167,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:56.614026Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_likely_politicians)",,,
168,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:59.262677Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_likely_who)",,,
169,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:00.281675Z,MetacacheThread-6,"(fb-survey, smoothed_waccept_covid_vaccine)",,,
170,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:00.367021Z,MetacacheThread-1,"(fb-survey, smoothed_waccept_covid_vaccine_no_appointment)",,,
171,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:00.763503Z,MetacacheThread-7,"(fb-survey, smoothed_wanted_test_14d)",,,
172,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:01.924019Z,MetacacheThread-1,"(fb-survey, smoothed_want_info_children_education)",,,
173,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:03.100329Z,MetacacheThread-2,"(fb-survey, smoothed_want_info_covid_treatment)",,,
174,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:04.750521Z,MetacacheThread-6,"(fb-survey, smoothed_want_info_covid_variants)",,,
175,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:04.895410Z,MetacacheThread-1,"(fb-survey, smoothed_want_info_employment)",,,
176,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:06.006067Z,MetacacheThread-2,"(fb-survey, smoothed_want_info_mental_health)",,,
177,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:07.562314Z,MetacacheThread-6,"(fb-survey, smoothed_want_info_none)",,,
178,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:07.632683Z,MetacacheThread-1,"(fb-survey, smoothed_want_info_relationships)",,,
179,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:08.754762Z,MetacacheThread-2,"(fb-survey, smoothed_want_info_vaccine_access)",,,
180,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:10.095527Z,MetacacheThread-7,"(fb-survey, smoothed_want_info_vaccine_types)",,,
181,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:10.187268Z,MetacacheThread-6,"(fb-survey, smoothed_wanxious_5d)",,,
182,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:10.513683Z,MetacacheThread-1,"(fb-survey, smoothed_wanxious_7d)",,,
183,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:11.654831Z,MetacacheThread-2,"(fb-survey, smoothed_wappointment_not_vaccinated)",,,
184,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:12.975340Z,MetacacheThread-7,"(fb-survey, smoothed_wappointment_or_accept_covid_vaccine)",,,
185,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:13.333420Z,MetacacheThread-2,"(fb-survey, smoothed_wbelief_children_immune)",,,
186,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:14.752610Z,MetacacheThread-7,"(fb-survey, smoothed_wbelief_created_small_group)",,,
187,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:15.840252Z,MetacacheThread-1,"(fb-survey, smoothed_wbelief_distancing_effective)",,,
188,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:16.056682Z,MetacacheThread-6,"(fb-survey, smoothed_wbelief_govt_exploitation)",,,
189,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:16.237084Z,MetacacheThread-2,"(fb-survey, smoothed_wbelief_masking_effective)",,,
190,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:17.748932Z,MetacacheThread-7,"(fb-survey, smoothed_wbelief_vaccinated_mask_unnecessary)",,,
191,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:18.897089Z,MetacacheThread-6,"(fb-survey, smoothed_wcli)",,,
192,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:18.911242Z,MetacacheThread-1,"(fb-survey, smoothed_wcovid_vaccinated)",,,
193,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:19.841340Z,MetacacheThread-2,"(fb-survey, smoothed_wcovid_vaccinated_appointment_or_accept)",,,
194,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:20.892606Z,MetacacheThread-7,"(fb-survey, smoothed_wcovid_vaccinated_friends)",,,
195,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:24.029683Z,MetacacheThread-7,"(fb-survey, smoothed_wcovid_vaccinated_or_accept)",,,
196,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:26.750240Z,MetacacheThread-2,"(fb-survey, smoothed_wdelayed_care_cost)",,,
197,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:29.386249Z,MetacacheThread-2,"(fb-survey, smoothed_wdepressed_5d)",,,
198,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:29.453681Z,MetacacheThread-1,"(fb-survey, smoothed_wdepressed_7d)",,,
199,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:30.275761Z,MetacacheThread-7,"(fb-survey, smoothed_wdontneed_reason_dont_spend_time)",,,
200,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:31.565204Z,MetacacheThread-7,"(fb-survey, smoothed_wdontneed_reason_had_covid)",,,
201,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:32.216311Z,MetacacheThread-7,"(fb-survey, smoothed_wdontneed_reason_not_beneficial)",,,
202,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:32.907898Z,MetacacheThread-7,"(fb-survey, smoothed_wdontneed_reason_not_high_risk)",,,
203,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:33.602348Z,MetacacheThread-7,"(fb-survey, smoothed_wdontneed_reason_not_serious)",,,
204,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:34.282212Z,MetacacheThread-7,"(fb-survey, smoothed_wdontneed_reason_other)",,,
205,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:34.628622Z,MetacacheThread-1,"(fb-survey, smoothed_wdontneed_reason_precautions)",,,
206,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:34.760099Z,MetacacheThread-2,"(fb-survey, smoothed_wearing_mask)",,,
207,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:34.944752Z,MetacacheThread-7,"(fb-survey, smoothed_wearing_mask_7d)",,,
208,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:35.303694Z,MetacacheThread-1,"(fb-survey, smoothed_wfelt_isolated_5d)",,,
209,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:36.794374Z,MetacacheThread-6,"(fb-survey, smoothed_wfelt_isolated_7d)",,,
210,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:39.852014Z,MetacacheThread-6,"(fb-survey, smoothed_whad_covid_ever)",,,
211,starting pair,compute_covidcast_meta,info,2022-01-01T04:04:40.499743Z,MetacacheThread-2,"(fb-survey, smoothed_whesitancy_reason_allergic)",,,
